datetime_utc,total_traffic,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,hour
2020-11-25 01:07:00+00:00,372,2,300.41,0.07,21.08,24.32,2.03,13.38,14.45,0.42,2020,11,1
2020-11-25 02:07:00+00:00,403,2,297.07,0.05,19.71,26.11,1.97,13.45,14.45,0.4,2020,11,2
2020-11-25 03:07:00+00:00,604,2,293.73,0.04,18.34,28.61,2.0,13.49,14.45,0.38,2020,11,3
2020-11-25 04:07:00+00:00,962,2,290.39,0.03,17.48,31.83,2.15,13.11,14.02,0.36,2020,11,4
2020-11-25 05:07:00+00:00,2709,2,283.72,0.03,16.97,35.05,2.38,12.45,13.35,0.38,2020,11,5
2020-11-25 06:07:00+00:00,5292,2,287.06,0.05,18.68,35.76,2.89,11.78,12.78,0.46,2020,11,6
2020-11-25 07:07:00+00:00,6461,2,293.73,0.07,20.56,35.41,3.31,10.98,12.19,0.55,2020,11,7
2020-11-25 08:07:00+00:00,6137,2,293.73,0.29,20.22,37.19,3.49,10.31,11.67,0.6,2020,11,8
2020-11-25 09:07:00+00:00,5577,1,287.06,0.98,18.51,42.2,3.64,9.55,10.98,0.66,2020,11,9
2020-11-25 10:07:00+00:00,4581,1,277.04,1.09,16.45,47.92,3.49,8.48,9.88,0.71,2020,11,10
2020-11-25 11:07:00+00:00,4980,1,270.37,0.82,16.11,50.78,3.52,7.44,8.79,0.74,2020,11,11
2020-11-25 12:07:00+00:00,5273,1,263.69,0.42,16.11,52.21,3.52,6.82,8.07,0.79,2020,11,12
2020-11-25 13:07:00+00:00,5589,1,263.69,0.38,18.17,50.78,3.55,6.86,8.07,0.8,2020,11,13
2020-11-25 14:07:00+00:00,5989,1,277.04,0.56,21.94,44.35,3.79,7.27,8.59,0.78,2020,11,14
2020-11-25 15:07:00+00:00,6241,1,287.06,0.25,24.68,38.62,3.76,7.65,9.12,0.79,2020,11,15
2020-11-25 16:07:00+00:00,6210,1,297.07,0.08,27.42,33.26,3.73,8.19,9.76,0.78,2020,11,16
2020-11-25 17:07:00+00:00,5733,1,300.41,0.11,27.42,30.76,3.49,8.79,10.39,0.74,2020,11,17
2020-11-25 18:07:00+00:00,4903,1,300.41,0.12,26.05,29.68,3.28,9.66,11.31,0.69,2020,11,18
2020-11-25 19:07:00+00:00,3389,2,303.75,0.13,25.71,28.25,3.25,10.77,12.45,0.65,2020,11,19
2020-11-25 20:07:00+00:00,2316,2,307.08,0.12,25.02,27.18,3.13,12.19,13.84,0.6,2020,11,20
2020-11-25 21:07:00+00:00,1747,2,310.42,0.13,25.36,25.75,2.98,13.82,15.4,0.55,2020,11,21
2020-11-25 22:07:00+00:00,1210,2,313.76,0.12,25.71,24.68,2.5,15.22,16.66,0.48,2020,11,22
2020-11-25 23:07:00+00:00,760,2,317.1,0.08,25.02,23.6,1.8,15.72,17.01,0.42,2020,11,23
2020-11-26 00:07:00+00:00,524,2,317.1,0.07,23.99,23.25,1.52,15.95,17.1,0.38,2020,11,0
2020-11-26 01:07:00+00:00,401,2,313.76,0.06,22.28,23.96,1.37,16.02,17.09,0.35,2020,11,1
2020-11-26 02:07:00+00:00,432,2,310.42,0.04,19.54,26.11,1.34,16.73,17.75,0.33,2020,11,2
2020-11-26 03:07:00+00:00,532,2,307.08,0.03,17.48,28.61,1.36,18.15,19.15,0.32,2020,11,3
2020-11-26 04:07:00+00:00,985,2,303.75,0.03,15.77,31.11,1.4,19.98,20.98,0.31,2020,11,4
2020-11-26 05:07:00+00:00,2667,3,303.75,0.03,14.91,32.54,1.55,21.64,22.68,0.33,2020,11,5
2020-11-26 06:07:00+00:00,5334,3,310.42,0.06,16.28,32.19,2.09,23.39,24.57,0.38,2020,11,6
2020-11-26 07:07:00+00:00,6518,3,320.44,0.1,19.02,30.4,2.59,25.0,26.35,0.43,2020,11,7
2020-11-26 08:07:00+00:00,6719,4,327.11,0.11,20.22,29.68,2.77,26.12,27.56,0.45,2020,11,8
2020-11-26 09:07:00+00:00,5869,4,323.77,0.15,19.54,31.47,2.83,26.49,27.93,0.42,2020,11,9
2020-11-26 10:07:00+00:00,5132,4,313.76,0.15,16.79,37.91,2.62,25.67,27.02,0.34,2020,11,10
2020-11-26 11:07:00+00:00,4988,3,313.76,0.15,16.45,39.34,2.56,24.72,26.06,0.38,2020,11,11
2020-11-26 12:07:00+00:00,5090,3,310.42,0.11,16.45,39.34,2.5,23.66,24.97,0.46,2020,11,12
2020-11-26 13:07:00+00:00,5338,3,303.75,0.09,16.11,40.05,2.38,22.28,23.59,0.5,2020,11,13
2020-11-26 14:07:00+00:00,5894,3,297.07,0.07,15.94,40.77,2.33,21.24,22.54,0.52,2020,11,14
2020-11-26 15:07:00+00:00,6044,2,293.73,0.02,15.77,40.77,2.24,19.9,21.21,0.58,2020,11,15
