,total_traffic,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
total_traffic,1.0,0.15397541726987768,0.1496313307258724,0.1352179378039111,0.2612138289941319,-0.18031128509693936,0.2780395436393163,0.14273658747195658,0.15631088688281575,0.07708527915070126
aqi,0.15397541726987768,1.0,0.7015696159770647,0.6201238727432458,0.4646171957884402,-0.45269940938629766,0.5009697790216157,0.9192607881154294,0.9140880743644291,0.24016996127842608
co,0.1496313307258724,0.7015696159770647,1.0,0.90710989625734,0.6701746648501524,-0.6247698157088307,0.5034580885082427,0.7683312299599133,0.7804592043855106,0.1992387202206622
no,0.1352179378039111,0.6201238727432458,0.90710989625734,1.0,0.4077156768759592,-0.41681744307495733,0.39875862795424716,0.6441756629258295,0.6555337601182173,0.1575036521601833
no2,0.2612138289941319,0.4646171957884402,0.6701746648501524,0.4077156768759592,1.0,-0.7409559705340174,0.650500947795011,0.5484365206097636,0.5737081212376197,0.19877575756228277
o3,-0.18031128509693936,-0.45269940938629766,-0.6247698157088307,-0.41681744307495733,-0.7409559705340174,1.0,-0.3889161905530868,-0.5236858518745588,-0.5457842500551191,-0.004320804874401234
so2,0.2780395436393163,0.5009697790216157,0.5034580885082427,0.39875862795424716,0.650500947795011,-0.3889161905530868,1.0,0.557687145478358,0.5880261604370114,0.5610776883308959
pm2_5,0.14273658747195658,0.9192607881154294,0.7683312299599133,0.6441756629258295,0.5484365206097636,-0.5236858518745588,0.557687145478358,1.0,0.9967397521846397,0.2609511600583399
pm10,0.15631088688281575,0.9140880743644291,0.7804592043855106,0.6555337601182173,0.5737081212376197,-0.5457842500551191,0.5880261604370114,0.9967397521846397,1.0,0.28169113907706367
nh3,0.07708527915070126,0.24016996127842608,0.1992387202206622,0.1575036521601833,0.19877575756228277,-0.004320804874401234,0.5610776883308959,0.2609511600583399,0.28169113907706367,1.0
